NAME                                 READY   STATUS             RESTARTS   AGE     IP             NODE               NOMINATED NODE   READINESS GATES
n8n-prod-9c55b445d-f8z2w             1/1     Running            0          31h     10.244.0.29    pw-control-plane   <none>           <none>
n8n-prod-c945f7c6f-vkfm8             0/1     ImagePullBackOff   0          52m     10.244.0.6     pw-control-plane   <none>           <none>
n8n-prod-postgresql-0                1/1     Running            0          31h     10.244.0.22    pw-control-plane   <none>           <none>
n8n-prod-redis-master-0              1/1     Running            0          31h     10.244.0.20    pw-control-plane   <none>           <none>
n8n-prod-webhook-7b8644d8b5-mvxbz    0/1     ImagePullBackOff   0          52m     10.244.0.8     pw-control-plane   <none>           <none>
n8n-prod-webhook-8cf88cd4b-nlg2c     1/1     Running            0          31h     10.244.0.30    pw-control-plane   <none>           <none>
n8n-prod-worker-7dcc77d9c8-tq6kf     1/1     Running            0          31h     10.244.0.26    pw-control-plane   <none>           <none>
n8n-prod-worker-c94d9949c-b6ws5      0/1     ErrImagePull       0          52m     10.244.0.13    pw-control-plane   <none>           <none>
playwright-wrapper-589fc7f8c-679k5   1/1     Running            0          2m14s   10.244.0.28    pw-control-plane   <none>           <none>
pw-86c6fd36d3c9b911                  1/1     Running            0          4h31m   10.244.0.135   pw-control-plane   <none>           <none>
pw-8738eb6a2053d971                  1/1     Running            0          2m12s   10.244.0.32    pw-control-plane   <none>           <none>
