NAME                  READY   STATUS    RESTARTS   AGE     IP             NODE               NOMINATED NODE   READINESS GATES
pw-0e19c25c9dc90d8c   1/1     Running   0          86m     10.244.0.198   pw-control-plane   <none>           <none>
pw-0e227c462e1e1f4e   1/1     Running   0          3h11m   10.244.0.143   pw-control-plane   <none>           <none>
pw-1f74200e450212fc   1/1     Running   0          100m    10.244.0.185   pw-control-plane   <none>           <none>
pw-32e67cc9308e113f   1/1     Running   0          14m     10.244.0.243   pw-control-plane   <none>           <none>
pw-32eed78e7c7fc3fd   1/1     Running   0          3h4m    10.244.0.148   pw-control-plane   <none>           <none>
pw-36a3dd9015aa7a01   1/1     Running   0          151m    10.244.0.167   pw-control-plane   <none>           <none>
pw-3ac614b41fee5847   1/1     Running   0          3h1m    10.244.0.151   pw-control-plane   <none>           <none>
pw-481624059c376af7   1/1     Running   0          7m3s    10.244.0.248   pw-control-plane   <none>           <none>
pw-54c4546085cd9baf   1/1     Running   0          101m    10.244.0.181   pw-control-plane   <none>           <none>
pw-79f94604b260d0b4   1/1     Running   0          93m     10.244.0.190   pw-control-plane   <none>           <none>
pw-7a027161da394209   1/1     Running   0          37m     10.244.0.224   pw-control-plane   <none>           <none>
pw-87fdee51a98f2bcf   1/1     Running   0          78m     10.244.0.205   pw-control-plane   <none>           <none>
pw-9218b5642ec1af74   1/1     Running   0          109m    10.244.0.173   pw-control-plane   <none>           <none>
pw-938f6a45bb825740   1/1     Running   0          107m    10.244.0.177   pw-control-plane   <none>           <none>
pw-a70e85c88a100e71   1/1     Running   0          65m     10.244.0.216   pw-control-plane   <none>           <none>
pw-d32819a806926a8e   1/1     Running   0          75m     10.244.0.209   pw-control-plane   <none>           <none>
pw-f32f5dbdd9570c9d   1/1     Running   0          24m     10.244.0.237   pw-control-plane   <none>           <none>
pw-f5192bb07e475df5   1/1     Running   0          3h13m   10.244.0.141   pw-control-plane   <none>           <none>
