NAME                                  READY   STATUS             RESTARTS   AGE     IP             NODE               NOMINATED NODE   READINESS GATES
n8n-prod-9c55b445d-f8z2w              1/1     Running            0          31h     10.244.0.29    pw-control-plane   <none>           <none>
n8n-prod-c945f7c6f-vkfm8              0/1     ImagePullBackOff   0          50m     10.244.0.6     pw-control-plane   <none>           <none>
n8n-prod-postgresql-0                 1/1     Running            0          31h     10.244.0.22    pw-control-plane   <none>           <none>
n8n-prod-redis-master-0               1/1     Running            0          31h     10.244.0.20    pw-control-plane   <none>           <none>
n8n-prod-webhook-7b8644d8b5-mvxbz     0/1     ImagePullBackOff   0          50m     10.244.0.8     pw-control-plane   <none>           <none>
n8n-prod-webhook-8cf88cd4b-nlg2c      1/1     Running            0          31h     10.244.0.30    pw-control-plane   <none>           <none>
n8n-prod-worker-7dcc77d9c8-tq6kf      1/1     Running            0          31h     10.244.0.26    pw-control-plane   <none>           <none>
n8n-prod-worker-c94d9949c-b6ws5       0/1     ImagePullBackOff   0          50m     10.244.0.13    pw-control-plane   <none>           <none>
playwright-wrapper-67bf85b855-8mfbt   1/1     Running            0          5m45s   10.244.0.17    pw-control-plane   <none>           <none>
pw-0e959bcd3e913d76                   1/1     Running            0          3m17s   10.244.0.21    pw-control-plane   <none>           <none>
pw-86c6fd36d3c9b911                   1/1     Running            0          4h29m   10.244.0.135   pw-control-plane   <none>           <none>
