NAMESPACE            NAME                               READY   UP-TO-DATE   AVAILABLE   AGE    CONTAINERS                  IMAGES                                                                                                                     SELECTOR
argocd               argocd-applicationset-controller   1/1     1            1           2d2h   applicationset-controller   quay.io/argoproj/argocd:v3.3.0                                                                                             app.kubernetes.io/instance=argocd,app.kubernetes.io/name=argocd-applicationset-controller
argocd               argocd-dex-server                  1/1     1            1           2d2h   dex-server                  ghcr.io/dexidp/dex:v2.44.0                                                                                                 app.kubernetes.io/instance=argocd,app.kubernetes.io/name=argocd-dex-server
argocd               argocd-notifications-controller    1/1     1            1           2d2h   notifications-controller    quay.io/argoproj/argocd:v3.3.0                                                                                             app.kubernetes.io/instance=argocd,app.kubernetes.io/name=argocd-notifications-controller
argocd               argocd-redis                       1/1     1            1           2d2h   redis                       ecr-public.aws.com/docker/library/redis:8.2.3-alpine                                                                       app.kubernetes.io/name=argocd-redis
argocd               argocd-repo-server                 1/1     1            1           2d2h   repo-server                 quay.io/argoproj/argocd:v3.3.0                                                                                             app.kubernetes.io/instance=argocd,app.kubernetes.io/name=argocd-repo-server
argocd               argocd-server                      1/1     1            1           2d2h   server                      quay.io/argoproj/argocd:v3.3.0                                                                                             app.kubernetes.io/instance=argocd,app.kubernetes.io/name=argocd-server
ingress-nginx        ingress-nginx-controller           1/1     1            1           2d2h   controller                  registry.k8s.io/ingress-nginx/controller:v1.14.3@sha256:82917be97c0939f6ada1717bb39aa7e66c229d6cfb10dcfc8f1bd42f9efe0f81   app.kubernetes.io/component=controller,app.kubernetes.io/instance=ingress-nginx,app.kubernetes.io/name=ingress-nginx
kube-system          coredns                            2/2     2            2           2d2h   coredns                     registry.k8s.io/coredns/coredns:v1.13.1                                                                                    k8s-app=kube-dns
local-path-storage   local-path-provisioner             1/1     1            1           2d2h   local-path-provisioner      docker.io/kindest/local-path-provisioner:v20251212-v0.29.0-alpha-105-g20ccfc88                                             app=local-path-provisioner
n8n-prod             n8n-prod                           1/1     1            1           2d1h   n8n-main                    n8n-playwright-local:1.0.1-fix-host                                                                                        app.kubernetes.io/instance=n8n-prod,app.kubernetes.io/name=n8n
n8n-prod             n8n-prod-webhook                   1/1     1            1           2d1h   n8n-webhook                 n8n-playwright-local:1.0.1-fix-host                                                                                        app.kubernetes.io/component=webhook,app.kubernetes.io/instance=n8n-prod,app.kubernetes.io/name=n8n-webhook
n8n-prod             n8n-prod-worker                    1/1     1            1           2d1h   n8n-worker                  n8n-playwright-local:1.0.1-fix-host                                                                                        app.kubernetes.io/component=worker,app.kubernetes.io/instance=n8n-prod,app.kubernetes.io/name=n8n-worker
n8n-prod             playwright-wrapper                 1/1     1            1           30h    wrapper                     playwright-wrapper:proxyany-retry-session-not-found-20260218-160448                                                        app.kubernetes.io/instance=n8n-prod,app.kubernetes.io/name=playwright-wrapper
