NAMESPACE       NAME                                 TYPE           CLUSTER-IP      EXTERNAL-IP   PORT(S)                      AGE    SELECTOR
argocd          argocd-applicationset-controller     ClusterIP      10.96.15.174    <none>        7000/TCP                     2d2h   app.kubernetes.io/instance=argocd,app.kubernetes.io/name=argocd-applicationset-controller
argocd          argocd-dex-server                    ClusterIP      10.96.8.208     <none>        5556/TCP,5557/TCP            2d2h   app.kubernetes.io/instance=argocd,app.kubernetes.io/name=argocd-dex-server
argocd          argocd-redis                         ClusterIP      10.96.121.24    <none>        6379/TCP                     2d2h   app.kubernetes.io/instance=argocd,app.kubernetes.io/name=argocd-redis
argocd          argocd-repo-server                   ClusterIP      10.96.100.57    <none>        8081/TCP                     2d2h   app.kubernetes.io/instance=argocd,app.kubernetes.io/name=argocd-repo-server
argocd          argocd-server                        ClusterIP      10.96.120.224   <none>        80/TCP,443/TCP               2d2h   app.kubernetes.io/instance=argocd,app.kubernetes.io/name=argocd-server
default         kubernetes                           ClusterIP      10.96.0.1       <none>        443/TCP                      2d2h   <none>
ingress-nginx   ingress-nginx-controller             LoadBalancer   10.96.177.79    <pending>     80:30611/TCP,443:31215/TCP   2d2h   app.kubernetes.io/component=controller,app.kubernetes.io/instance=ingress-nginx,app.kubernetes.io/name=ingress-nginx
ingress-nginx   ingress-nginx-controller-admission   ClusterIP      10.96.37.184    <none>        443/TCP                      2d2h   app.kubernetes.io/component=controller,app.kubernetes.io/instance=ingress-nginx,app.kubernetes.io/name=ingress-nginx
kube-system     kube-dns                             ClusterIP      10.96.0.10      <none>        53/UDP,53/TCP,9153/TCP       2d2h   k8s-app=kube-dns
n8n-prod        n8n-prod                             ClusterIP      10.96.184.105   <none>        5678/TCP                     2d1h   app.kubernetes.io/instance=n8n-prod,app.kubernetes.io/name=n8n
n8n-prod        n8n-prod-postgresql                  ClusterIP      10.96.183.101   <none>        5432/TCP                     2d1h   app.kubernetes.io/component=primary,app.kubernetes.io/instance=n8n-prod,app.kubernetes.io/name=postgresql
n8n-prod        n8n-prod-postgresql-hl               ClusterIP      None            <none>        5432/TCP                     2d1h   app.kubernetes.io/component=primary,app.kubernetes.io/instance=n8n-prod,app.kubernetes.io/name=postgresql
n8n-prod        n8n-prod-redis-headless              ClusterIP      None            <none>        6379/TCP                     2d1h   app.kubernetes.io/instance=n8n-prod,app.kubernetes.io/name=redis
n8n-prod        n8n-prod-redis-master                ClusterIP      10.96.164.94    <none>        6379/TCP                     2d1h   app.kubernetes.io/component=master,app.kubernetes.io/instance=n8n-prod,app.kubernetes.io/name=redis
n8n-prod        n8n-prod-webhook                     ClusterIP      10.96.200.130   <none>        5678/TCP                     2d1h   app.kubernetes.io/component=webhook,app.kubernetes.io/instance=n8n-prod,app.kubernetes.io/name=n8n-webhook
n8n-prod        playwright-wrapper                   ClusterIP      10.96.57.253    <none>        8080/TCP                     30h    app.kubernetes.io/instance=n8n-prod,app.kubernetes.io/name=playwright-wrapper
n8n-prod        pw-0481ea732939ec2c                  ClusterIP      10.96.137.37    <none>        8933/TCP                     46m    app=pw,sid=0481ea732939ec2c
n8n-prod        pw-1c37c18730de3bbf                  ClusterIP      10.96.87.99     <none>        8933/TCP                     20m    app=pw,sid=1c37c18730de3bbf
n8n-prod        pw-543f4821b0e6af8b                  ClusterIP      10.96.193.212   <none>        8933/TCP                     40m    app=pw,sid=543f4821b0e6af8b
n8n-prod        pw-631178e3273931d9                  ClusterIP      10.96.107.159   <none>        8933/TCP                     61m    app=pw,sid=631178e3273931d9
n8n-prod        pw-6ae0480b65602b3f                  ClusterIP      10.96.202.246   <none>        8933/TCP                     17m    app=pw,sid=6ae0480b65602b3f
n8n-prod        pw-8635157122a58cf1                  ClusterIP      10.96.5.128     <none>        8933/TCP                     24m    app=pw,sid=8635157122a58cf1
n8n-prod        pw-e77723c00acb3374                  ClusterIP      10.96.47.214    <none>        8933/TCP                     77m    app=pw,sid=e77723c00acb3374
n8n-prod        pw-f07b5bb99f5f8b07                  ClusterIP      10.96.142.197   <none>        8933/TCP                     17m    app=pw,sid=f07b5bb99f5f8b07
n8n-prod        pw-svc-86c6fd36d3c9b911              ClusterIP      10.96.201.226   <none>        8933/TCP                     22h    app=playwright-ephemeral,sessionId=86c6fd36d3c9b911
