NAMESPACE       NAME                                 ENDPOINTS                                                   AGE
argocd          argocd-applicationset-controller     10.244.0.10:7000                                            2d2h
argocd          argocd-dex-server                    10.244.0.12:5556,10.244.0.12:5557                           2d2h
argocd          argocd-redis                         10.244.0.9:6379                                             2d2h
argocd          argocd-repo-server                   10.244.0.14:8081                                            2d2h
argocd          argocd-server                        10.244.0.16:8080,10.244.0.16:8080                           2d2h
default         kubernetes                           172.19.0.3:6443                                             2d2h
ingress-nginx   ingress-nginx-controller             10.244.0.7:443,10.244.0.7:80                                2d2h
ingress-nginx   ingress-nginx-controller-admission   10.244.0.7:8443                                             2d2h
kube-system     kube-dns                             10.244.0.2:9153,10.244.0.4:9153,10.244.0.2:53 + 3 more...   2d2h
n8n-prod        n8n-prod                             10.244.0.29:5678                                            2d1h
n8n-prod        n8n-prod-postgresql                  10.244.0.22:5432                                            2d1h
n8n-prod        n8n-prod-postgresql-hl               10.244.0.22:5432                                            2d1h
n8n-prod        n8n-prod-redis-headless              10.244.0.20:6379                                            2d1h
n8n-prod        n8n-prod-redis-master                10.244.0.20:6379                                            2d1h
n8n-prod        n8n-prod-webhook                     10.244.0.30:5678                                            2d1h
n8n-prod        playwright-wrapper                   10.244.0.212:8080                                           30h
n8n-prod        pw-0481ea732939ec2c                  10.244.0.204:8933                                           46m
n8n-prod        pw-1c37c18730de3bbf                  10.244.0.218:8933                                           20m
n8n-prod        pw-543f4821b0e6af8b                  10.244.0.207:8933                                           40m
n8n-prod        pw-631178e3273931d9                  10.244.0.199:8933                                           61m
n8n-prod        pw-6ae0480b65602b3f                  10.244.0.221:8933                                           17m
n8n-prod        pw-8635157122a58cf1                  10.244.0.215:8933                                           24m
n8n-prod        pw-e77723c00acb3374                  10.244.0.194:8933                                           78m
n8n-prod        pw-f07b5bb99f5f8b07                  10.244.0.224:8933                                           17m
n8n-prod        pw-svc-86c6fd36d3c9b911              10.244.0.135:8933                                           22h
