NAMESPACE       NAME                                       ADDRESSTYPE   PORTS        ENDPOINTS                AGE
argocd          argocd-applicationset-controller-gx79k     IPv4          7000         10.244.0.10              2d2h
argocd          argocd-dex-server-72nf8                    IPv4          5557,5556    10.244.0.12              2d2h
argocd          argocd-redis-wlz7n                         IPv4          6379         10.244.0.9               2d2h
argocd          argocd-repo-server-mcvmp                   IPv4          8081         10.244.0.14              2d2h
argocd          argocd-server-2bq5s                        IPv4          8080,8080    10.244.0.16              2d2h
default         kubernetes                                 IPv4          6443         172.19.0.3               2d2h
ingress-nginx   ingress-nginx-controller-8lk8w             IPv4          443,80       10.244.0.7               2d2h
ingress-nginx   ingress-nginx-controller-admission-f9b5g   IPv4          8443         10.244.0.7               2d2h
kube-system     kube-dns-td6c6                             IPv4          53,53,9153   10.244.0.2,10.244.0.4    2d2h
n8n-prod        n8n-prod-postgresql-9l75m                  IPv4          5432         10.244.0.22              2d1h
n8n-prod        n8n-prod-postgresql-hl-2pqlm               IPv4          5432         10.244.0.22              2d1h
n8n-prod        n8n-prod-redis-headless-vtbm2              IPv4          6379         10.244.0.20              2d1h
n8n-prod        n8n-prod-redis-master-hpmml                IPv4          6379         10.244.0.20              2d1h
n8n-prod        n8n-prod-webhook-hgbnh                     IPv4          5678         10.244.0.30,10.244.0.8   2d1h
n8n-prod        n8n-prod-wlh2b                             IPv4          5678         10.244.0.29,10.244.0.6   2d1h
n8n-prod        playwright-wrapper-cj7xr                   IPv4          8080         10.244.0.212             30h
n8n-prod        pw-0481ea732939ec2c-5vv7b                  IPv4          8933         10.244.0.204             46m
n8n-prod        pw-1c37c18730de3bbf-965vm                  IPv4          8933         10.244.0.218             20m
n8n-prod        pw-543f4821b0e6af8b-xzd7n                  IPv4          8933         10.244.0.207             40m
n8n-prod        pw-631178e3273931d9-b5str                  IPv4          8933         10.244.0.199             61m
n8n-prod        pw-6ae0480b65602b3f-srxgh                  IPv4          8933         10.244.0.221             17m
n8n-prod        pw-8635157122a58cf1-5p8vl                  IPv4          8933         10.244.0.215             24m
n8n-prod        pw-e77723c00acb3374-5l8cj                  IPv4          8933         10.244.0.194             78m
n8n-prod        pw-f07b5bb99f5f8b07-hhd8q                  IPv4          8933         10.244.0.224             17m
n8n-prod        pw-svc-86c6fd36d3c9b911-j2jw4              IPv4          8933         10.244.0.135             22h
