NAME                                  READY   STATUS             RESTARTS   AGE    IP             NODE               NOMINATED NODE   READINESS GATES
n8n-prod-9c55b445d-f8z2w              1/1     Running            0          2d1h   10.244.0.29    pw-control-plane   <none>           <none>
n8n-prod-c945f7c6f-vkfm8              0/1     ImagePullBackOff   0          19h    10.244.0.6     pw-control-plane   <none>           <none>
n8n-prod-postgresql-0                 1/1     Running            0          2d2h   10.244.0.22    pw-control-plane   <none>           <none>
n8n-prod-redis-master-0               1/1     Running            0          2d2h   10.244.0.20    pw-control-plane   <none>           <none>
n8n-prod-webhook-7b8644d8b5-mvxbz     0/1     ImagePullBackOff   0          19h    10.244.0.8     pw-control-plane   <none>           <none>
n8n-prod-webhook-8cf88cd4b-nlg2c      1/1     Running            0          2d1h   10.244.0.30    pw-control-plane   <none>           <none>
n8n-prod-worker-7dcc77d9c8-tq6kf      1/1     Running            0          2d1h   10.244.0.26    pw-control-plane   <none>           <none>
n8n-prod-worker-c94d9949c-b6ws5       0/1     ImagePullBackOff   0          19h    10.244.0.13    pw-control-plane   <none>           <none>
playwright-wrapper-669cd78d49-jrdnq   1/1     Running            0          52m    10.244.0.212   pw-control-plane   <none>           <none>
pw-0481ea732939ec2c                   1/1     Running            0          71m    10.244.0.204   pw-control-plane   <none>           <none>
pw-3113258d683ab3f2                   1/1     Running            0          16m    10.244.0.232   pw-control-plane   <none>           <none>
pw-543f4821b0e6af8b                   1/1     Running            0          65m    10.244.0.207   pw-control-plane   <none>           <none>
pw-631178e3273931d9                   1/1     Running            0          85m    10.244.0.199   pw-control-plane   <none>           <none>
pw-8635157122a58cf1                   1/1     Running            0          48m    10.244.0.215   pw-control-plane   <none>           <none>
pw-86c6fd36d3c9b911                   1/1     Running            0          22h    10.244.0.135   pw-control-plane   <none>           <none>
pw-ba7b684d05331abe                   1/1     Running            0          19m    10.244.0.231   pw-control-plane   <none>           <none>
pw-d85bcd034aab65ba                   1/1     Running            0          19m    10.244.0.230   pw-control-plane   <none>           <none>
pw-e77723c00acb3374                   1/1     Running            0          102m   10.244.0.194   pw-control-plane   <none>           <none>
