LAST SEEN   TYPE      REASON              OBJECT                                     MESSAGE
5m57s       Normal    BackOff             pod/n8n-prod-c945f7c6f-vkfm8               Back-off pulling image "n8n-playwright-local:1.0.1-fix-host"
55s         Warning   Failed              pod/n8n-prod-c945f7c6f-vkfm8               Error: ImagePullBackOff
6m2s        Warning   Failed              pod/n8n-prod-webhook-7b8644d8b5-mvxbz      Error: ImagePullBackOff
6m2s        Normal    BackOff             pod/n8n-prod-webhook-7b8644d8b5-mvxbz      Back-off pulling image "n8n-playwright-local:1.0.1-fix-host"
60s         Warning   Failed              pod/n8n-prod-worker-c94d9949c-b6ws5        Error: ImagePullBackOff
60s         Normal    BackOff             pod/n8n-prod-worker-c94d9949c-b6ws5        Back-off pulling image "n8n-playwright-local:1.0.1-fix-host"
8m          Normal    ScalingReplicaSet   deployment/playwright-wrapper              Scaled down replica set playwright-wrapper-545784679b from 1 to 0
8m          Normal    ScalingReplicaSet   deployment/playwright-wrapper              Scaled up replica set playwright-wrapper-85c765ddbc from 0 to 1
8m          Normal    Scheduled           pod/playwright-wrapper-545784679b-h57ns    Successfully assigned n8n-prod/playwright-wrapper-545784679b-h57ns to pw-control-plane
8m          Normal    SuccessfulCreate    replicaset/playwright-wrapper-545784679b   Created pod: playwright-wrapper-545784679b-h57ns
8m          Normal    SuccessfulDelete    replicaset/playwright-wrapper-545784679b   Deleted pod: playwright-wrapper-545784679b-h57ns
8m          Normal    ScalingReplicaSet   deployment/playwright-wrapper              Scaled up replica set playwright-wrapper-545784679b from 0 to 1
8m          Normal    SuccessfulCreate    replicaset/playwright-wrapper-85c765ddbc   Created pod: playwright-wrapper-85c765ddbc-lw67t
8m          Normal    Scheduled           pod/playwright-wrapper-85c765ddbc-lw67t    Successfully assigned n8n-prod/playwright-wrapper-85c765ddbc-lw67t to pw-control-plane
8m          Normal    Pulled              pod/playwright-wrapper-85c765ddbc-lw67t    Container image "playwright-wrapper:local-20260217-232534" already present on machine and can be accessed by the pod
8m          Normal    Created             pod/playwright-wrapper-85c765ddbc-lw67t    Container created
8m          Normal    Started             pod/playwright-wrapper-85c765ddbc-lw67t    Container started
7m58s       Warning   Unhealthy           pod/playwright-wrapper-85c765ddbc-lw67t    Readiness probe failed: Get "http://10.244.0.46:8080/health": dial tcp 10.244.0.46:8080: connect: connection refused
7m48s       Normal    Scheduled           pod/pw-16777717f6926b80                    Successfully assigned n8n-prod/pw-16777717f6926b80 to pw-control-plane
7m48s       Normal    Started             pod/pw-16777717f6926b80                    Container started
7m48s       Normal    Killing             pod/playwright-wrapper-7bf774d5d-wcgsg     Stopping container wrapper
