LAST SEEN   TYPE      REASON              OBJECT                                     MESSAGE
4m20s       Warning   Failed              pod/n8n-prod-c945f7c6f-vkfm8               Error: ImagePullBackOff
4m20s       Normal    BackOff             pod/n8n-prod-c945f7c6f-vkfm8               Back-off pulling image "n8n-playwright-local:1.0.1-fix-host"
4m21s       Warning   Failed              pod/n8n-prod-webhook-7b8644d8b5-mvxbz      Error: ImagePullBackOff
4m21s       Normal    BackOff             pod/n8n-prod-webhook-7b8644d8b5-mvxbz      Back-off pulling image "n8n-playwright-local:1.0.1-fix-host"
4m14s       Warning   Failed              pod/n8n-prod-worker-c94d9949c-b6ws5        Error: ImagePullBackOff
4m27s       Normal    BackOff             pod/n8n-prod-worker-c94d9949c-b6ws5        Back-off pulling image "n8n-playwright-local:1.0.1-fix-host"
49m         Normal    Pulling             pod/n8n-prod-c945f7c6f-vkfm8               Pulling image "n8n-playwright-local:1.0.1-fix-host"
49m         Warning   Failed              pod/n8n-prod-c945f7c6f-vkfm8               Failed to pull image "n8n-playwright-local:1.0.1-fix-host": failed to pull and unpack image "docker.io/library/n8n-playwright-local:1.0.1-fix-host": failed to resolve reference "docker.io/library/n8n-playwright-local:1.0.1-fix-host": pull access denied, repository does not exist or may require authorization: server message: insufficient_scope: authorization failed
41m         Normal    SuccessfulDelete    replicaset/playwright-wrapper-7758868d67   Deleted pod: playwright-wrapper-7758868d67-qxbbc
41m         Normal    ScalingReplicaSet   deployment/playwright-wrapper              Scaled up replica set playwright-wrapper-74d8d49f96 from 0 to 1
41m         Normal    ScalingReplicaSet   deployment/playwright-wrapper              Scaled down replica set playwright-wrapper-7758868d67 from 1 to 0
41m         Normal    Scheduled           pod/playwright-wrapper-7758868d67-qxbbc    Successfully assigned n8n-prod/playwright-wrapper-7758868d67-qxbbc to pw-control-plane
41m         Normal    SuccessfulCreate    replicaset/playwright-wrapper-7758868d67   Created pod: playwright-wrapper-7758868d67-qxbbc
41m         Normal    SuccessfulCreate    replicaset/playwright-wrapper-74d8d49f96   Created pod: playwright-wrapper-74d8d49f96-lt8db
41m         Normal    ScalingReplicaSet   deployment/playwright-wrapper              Scaled up replica set playwright-wrapper-7758868d67 from 0 to 1
41m         Normal    Scheduled           pod/playwright-wrapper-74d8d49f96-lt8db    Successfully assigned n8n-prod/playwright-wrapper-74d8d49f96-lt8db to pw-control-plane
41m         Normal    Pulled              pod/playwright-wrapper-74d8d49f96-lt8db    Container image "playwright-wrapper:fix-mainpy-20260218-144245" already present on machine and can be accessed by the pod
41m         Normal    Created             pod/playwright-wrapper-74d8d49f96-lt8db    Container created
41m         Normal    Started             pod/playwright-wrapper-74d8d49f96-lt8db    Container started
41m         Normal    SuccessfulDelete    replicaset/playwright-wrapper-79c749f4d7   Deleted pod: playwright-wrapper-79c749f4d7-66s4h
41m         Normal    Killing             pod/playwright-wrapper-79c749f4d7-66s4h    Stopping container wrapper
41m         Normal    ScalingReplicaSet   deployment/playwright-wrapper              Scaled down replica set playwright-wrapper-79c749f4d7 from 1 to 0
38m         Normal    Scheduled           pod/playwright-wrapper-5d8cd469d5-548d8    Successfully assigned n8n-prod/playwright-wrapper-5d8cd469d5-548d8 to pw-control-plane
38m         Normal    SuccessfulCreate    replicaset/playwright-wrapper-5d8cd469d5   Created pod: playwright-wrapper-5d8cd469d5-548d8
38m         Normal    ScalingReplicaSet   deployment/playwright-wrapper              Scaled up replica set playwright-wrapper-5d8cd469d5 from 0 to 1
38m         Normal    ScalingReplicaSet   deployment/playwright-wrapper              Scaled down replica set playwright-wrapper-6f555f8b7c from 1 to 0
38m         Normal    ScalingReplicaSet   deployment/playwright-wrapper              Scaled up replica set playwright-wrapper-6f555f8b7c from 0 to 1
38m         Normal    Scheduled           pod/playwright-wrapper-6f555f8b7c-6xd8j    Successfully assigned n8n-prod/playwright-wrapper-6f555f8b7c-6xd8j to pw-control-plane
38m         Normal    SuccessfulCreate    replicaset/playwright-wrapper-6f555f8b7c   Created pod: playwright-wrapper-6f555f8b7c-6xd8j
38m         Normal    SuccessfulDelete    replicaset/playwright-wrapper-6f555f8b7c   Deleted pod: playwright-wrapper-6f555f8b7c-6xd8j
38m         Normal    Created             pod/playwright-wrapper-5d8cd469d5-548d8    Container created
38m         Normal    Pulled              pod/playwright-wrapper-5d8cd469d5-548d8    Container image "playwright-wrapper:fix-mainpy-20260218-144523" already present on machine and can be accessed by the pod
38m         Normal    Started             pod/playwright-wrapper-5d8cd469d5-548d8    Container started
38m         Normal    Killing             pod/playwright-wrapper-74d8d49f96-lt8db    Stopping container wrapper
38m         Normal    SuccessfulDelete    replicaset/playwright-wrapper-74d8d49f96   Deleted pod: playwright-wrapper-74d8d49f96-lt8db
38m         Normal    ScalingReplicaSet   deployment/playwright-wrapper              Scaled down replica set playwright-wrapper-74d8d49f96 from 1 to 0
38m         Warning   Unhealthy           pod/playwright-wrapper-74d8d49f96-lt8db    Readiness probe failed: Get "http://10.244.0.169:8080/health": dial tcp 10.244.0.169:8080: connect: connection refused
27m         Normal    Scheduled           pod/playwright-wrapper-548fb9c6bd-lhp89    Successfully assigned n8n-prod/playwright-wrapper-548fb9c6bd-lhp89 to pw-control-plane
27m         Normal    ScalingReplicaSet   deployment/playwright-wrapper              Scaled up replica set playwright-wrapper-548fb9c6bd from 0 to 1
27m         Normal    SuccessfulCreate    replicaset/playwright-wrapper-548fb9c6bd   Created pod: playwright-wrapper-548fb9c6bd-lhp89
27m         Normal    ScalingReplicaSet   deployment/playwright-wrapper              Scaled up replica set playwright-wrapper-79497ddc8 from 0 to 1
27m         Normal    Scheduled           pod/playwright-wrapper-79497ddc8-b2l9c     Successfully assigned n8n-prod/playwright-wrapper-79497ddc8-b2l9c to pw-control-plane
27m         Normal    ScalingReplicaSet   deployment/playwright-wrapper              Scaled down replica set playwright-wrapper-79497ddc8 from 1 to 0
27m         Normal    SuccessfulDelete    replicaset/playwright-wrapper-79497ddc8    Deleted pod: playwright-wrapper-79497ddc8-b2l9c
27m         Normal    SuccessfulCreate    replicaset/playwright-wrapper-79497ddc8    Created pod: playwright-wrapper-79497ddc8-b2l9c
27m         Normal    Created             pod/playwright-wrapper-548fb9c6bd-lhp89    Container created
27m         Normal    Started             pod/playwright-wrapper-548fb9c6bd-lhp89    Container started
27m         Normal    Pulled              pod/playwright-wrapper-548fb9c6bd-lhp89    Container image "playwright-wrapper:fix-mainpy-20260218-145631" already present on machine and can be accessed by the pod
27m         Normal    ScalingReplicaSet   deployment/playwright-wrapper              Scaled down replica set playwright-wrapper-5d8cd469d5 from 1 to 0
27m         Normal    Killing             pod/playwright-wrapper-5d8cd469d5-548d8    Stopping container wrapper
27m         Normal    SuccessfulDelete    replicaset/playwright-wrapper-5d8cd469d5   Deleted pod: playwright-wrapper-5d8cd469d5-548d8
27m         Normal    Pulled              pod/curltest-openapi-21006                 Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
27m         Normal    Scheduled           pod/curltest-openapi-21006                 Successfully assigned n8n-prod/curltest-openapi-21006 to pw-control-plane
27m         Normal    Started             pod/curltest-openapi-21006                 Container started
27m         Normal    Created             pod/curltest-openapi-21006                 Container created
27m         Normal    Scheduled           pod/curltest-sessions-10407                Successfully assigned n8n-prod/curltest-sessions-10407 to pw-control-plane
27m         Normal    Pulled              pod/curltest-sessions-10407                Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
27m         Normal    Pulled              pod/pw-a3862cff22c56d53                    Container image "mcr.microsoft.com/playwright/mcp:latest" already present on machine and can be accessed by the pod
27m         Normal    Created             pod/pw-a3862cff22c56d53                    Container created
27m         Normal    Scheduled           pod/pw-a3862cff22c56d53                    Successfully assigned n8n-prod/pw-a3862cff22c56d53 to pw-control-plane
27m         Normal    Started             pod/pw-a3862cff22c56d53                    Container started
27m         Normal    Started             pod/curltest-sessions-10407                Container started
27m         Normal    Created             pod/curltest-sessions-10407                Container created
25m         Normal    SuccessfulDelete    replicaset/playwright-wrapper-688c5fc959   Deleted pod: playwright-wrapper-688c5fc959-dx8rm
25m         Normal    SuccessfulCreate    replicaset/playwright-wrapper-688c5fc959   Created pod: playwright-wrapper-688c5fc959-dx8rm
25m         Normal    Scheduled           pod/playwright-wrapper-688c5fc959-dx8rm    Successfully assigned n8n-prod/playwright-wrapper-688c5fc959-dx8rm to pw-control-plane
25m         Normal    Scheduled           pod/playwright-wrapper-6d6cbf7756-qxz8r    Successfully assigned n8n-prod/playwright-wrapper-6d6cbf7756-qxz8r to pw-control-plane
25m         Normal    SuccessfulCreate    replicaset/playwright-wrapper-6d6cbf7756   Created pod: playwright-wrapper-6d6cbf7756-qxz8r
25m         Normal    Created             pod/playwright-wrapper-6d6cbf7756-qxz8r    Container created
25m         Normal    Started             pod/playwright-wrapper-6d6cbf7756-qxz8r    Container started
25m         Normal    Pulled              pod/playwright-wrapper-6d6cbf7756-qxz8r    Container image "playwright-wrapper:mcp-autoinit-toggle-20260218-145844" already present on machine and can be accessed by the pod
25m         Normal    Scheduled           pod/playwright-wrapper-7b6cbf77d4-l2cwq    Successfully assigned n8n-prod/playwright-wrapper-7b6cbf77d4-l2cwq to pw-control-plane
25m         Normal    SuccessfulDelete    replicaset/playwright-wrapper-777bb44b7    Deleted pod: playwright-wrapper-777bb44b7-w9kh8
25m         Normal    SuccessfulCreate    replicaset/playwright-wrapper-777bb44b7    Created pod: playwright-wrapper-777bb44b7-w9kh8
25m         Normal    SuccessfulDelete    replicaset/playwright-wrapper-548fb9c6bd   Deleted pod: playwright-wrapper-548fb9c6bd-lhp89
25m         Normal    Scheduled           pod/playwright-wrapper-777bb44b7-w9kh8     Successfully assigned n8n-prod/playwright-wrapper-777bb44b7-w9kh8 to pw-control-plane
25m         Normal    Killing             pod/playwright-wrapper-548fb9c6bd-lhp89    Stopping container wrapper
25m         Normal    SuccessfulCreate    replicaset/playwright-wrapper-7b6cbf77d4   Created pod: playwright-wrapper-7b6cbf77d4-l2cwq
25m         Normal    Pulled              pod/playwright-wrapper-7b6cbf77d4-l2cwq    Container image "playwright-wrapper:mcp-autoinit-toggle-20260218-145844" already present on machine and can be accessed by the pod
25m         Normal    Created             pod/playwright-wrapper-7b6cbf77d4-l2cwq    Container created
25m         Normal    Started             pod/playwright-wrapper-7b6cbf77d4-l2cwq    Container started
25m         Normal    Killing             pod/playwright-wrapper-6d6cbf7756-qxz8r    Stopping container wrapper
25m         Normal    SuccessfulDelete    replicaset/playwright-wrapper-6d6cbf7756   Deleted pod: playwright-wrapper-6d6cbf7756-qxz8r
25m         Normal    Started             pod/curltest-sessions-19056                Container started
25m         Normal    Created             pod/curltest-sessions-19056                Container created
25m         Normal    Pulled              pod/curltest-sessions-19056                Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
25m         Normal    Scheduled           pod/curltest-sessions-19056                Successfully assigned n8n-prod/curltest-sessions-19056 to pw-control-plane
22m         Normal    Scheduled           pod/pw-b2a4c36b727a9f8b                    Successfully assigned n8n-prod/pw-b2a4c36b727a9f8b to pw-control-plane
22m         Normal    Scheduled           pod/curltest-sessions-18838                Successfully assigned n8n-prod/curltest-sessions-18838 to pw-control-plane
22m         Normal    Pulled              pod/curltest-sessions-18838                Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
22m         Normal    Started             pod/curltest-sessions-18838                Container started
22m         Normal    Created             pod/curltest-sessions-18838                Container created
22m         Normal    Pulled              pod/pw-b2a4c36b727a9f8b                    Container image "mcr.microsoft.com/playwright/mcp:latest" already present on machine and can be accessed by the pod
22m         Normal    Started             pod/pw-b2a4c36b727a9f8b                    Container started
22m         Normal    Created             pod/pw-b2a4c36b727a9f8b                    Container created
22m         Normal    Scheduled           pod/curltest-pwsvc-13516                   Successfully assigned n8n-prod/curltest-pwsvc-13516 to pw-control-plane
22m         Normal    Pulled              pod/curltest-pwsvc-13516                   Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
22m         Normal    Created             pod/curltest-pwsvc-13516                   Container created
22m         Normal    Started             pod/curltest-pwsvc-13516                   Container started
18m         Normal    SuccessfulDelete    replicaset/playwright-wrapper-6b85d59b44   Deleted pod: playwright-wrapper-6b85d59b44-6ckfx
18m         Normal    Scheduled           pod/playwright-wrapper-6b85d59b44-6ckfx    Successfully assigned n8n-prod/playwright-wrapper-6b85d59b44-6ckfx to pw-control-plane
5m38s       Normal    ScalingReplicaSet   deployment/playwright-wrapper              (combined from similar events): Scaled up replica set playwright-wrapper-d8c8cd46c from 0 to 1
18m         Normal    SuccessfulCreate    replicaset/playwright-wrapper-6dd8786bd    Created pod: playwright-wrapper-6dd8786bd-8bz24
18m         Normal    Scheduled           pod/playwright-wrapper-6dd8786bd-8bz24     Successfully assigned n8n-prod/playwright-wrapper-6dd8786bd-8bz24 to pw-control-plane
18m         Normal    SuccessfulCreate    replicaset/playwright-wrapper-6b85d59b44   Created pod: playwright-wrapper-6b85d59b44-6ckfx
18m         Normal    Pulled              pod/playwright-wrapper-6dd8786bd-8bz24     Container image "playwright-wrapper:fix-allowed-hosts-20260218-150603" already present on machine and can be accessed by the pod
18m         Normal    Created             pod/playwright-wrapper-6dd8786bd-8bz24     Container created
18m         Normal    Started             pod/playwright-wrapper-6dd8786bd-8bz24     Container started
18m         Normal    Started             pod/curltest-create-1844                   Container started
18m         Normal    SuccessfulDelete    replicaset/playwright-wrapper-7b6cbf77d4   Deleted pod: playwright-wrapper-7b6cbf77d4-l2cwq
18m         Normal    Killing             pod/playwright-wrapper-7b6cbf77d4-l2cwq    Stopping container wrapper
18m         Normal    Scheduled           pod/curltest-create-1844                   Successfully assigned n8n-prod/curltest-create-1844 to pw-control-plane
18m         Normal    Pulled              pod/curltest-create-1844                   Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
18m         Normal    Created             pod/curltest-create-1844                   Container created
18m         Normal    Started             pod/pw-a7237c85854d50c5                    Container started
18m         Normal    Created             pod/pw-a7237c85854d50c5                    Container created
18m         Normal    Scheduled           pod/pw-a7237c85854d50c5                    Successfully assigned n8n-prod/pw-a7237c85854d50c5 to pw-control-plane
18m         Normal    Pulled              pod/pw-a7237c85854d50c5                    Container image "mcr.microsoft.com/playwright/mcp:latest" already present on machine and can be accessed by the pod
18m         Normal    Created             pod/curltest-mcp-30230                     Container created
18m         Normal    Pulled              pod/curltest-mcp-30230                     Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
18m         Normal    Scheduled           pod/curltest-mcp-30230                     Successfully assigned n8n-prod/curltest-mcp-30230 to pw-control-plane
