### CMD: kubectl -n n8n-prod get rs -o wide
### DATE: 2026-02-18T17:21:51+01:00

NAME                            DESIRED   CURRENT   READY   AGE    CONTAINERS    IMAGES                                                                SELECTOR
n8n-prod-5684f8778f             0         0         0       2d2h   n8n-main      n8n-playwright-local:2.2.4-pw1.49.0-fix4                              app.kubernetes.io/instance=n8n-prod,app.kubernetes.io/name=n8n,pod-template-hash=5684f8778f
n8n-prod-6b54494b8d             0         0         0       2d2h   n8n-main      n8n-playwright-local:2.2.4-pw1.49.0-fix4                              app.kubernetes.io/instance=n8n-prod,app.kubernetes.io/name=n8n,pod-template-hash=6b54494b8d
n8n-prod-6c4c88b4               0         0         0       2d2h   n8n-main      n8n-playwright-local:2.2.4-pw1.49.0-fix4                              app.kubernetes.io/instance=n8n-prod,app.kubernetes.io/name=n8n,pod-template-hash=6c4c88b4
n8n-prod-9c55b445d              1         1         1       2d1h   n8n-main      n8n-playwright-local:2.2.4-pw1.49.0-fix4                              app.kubernetes.io/instance=n8n-prod,app.kubernetes.io/name=n8n,pod-template-hash=9c55b445d
n8n-prod-c945f7c6f              1         1         0       31h    n8n-main      n8n-playwright-local:1.0.1-fix-host                                   app.kubernetes.io/instance=n8n-prod,app.kubernetes.io/name=n8n,pod-template-hash=c945f7c6f
n8n-prod-webhook-7485d794dd     0         0         0       2d2h   n8n-webhook   n8n-playwright-local:2.2.4-pw1.49.0-fix4                              app.kubernetes.io/component=webhook,app.kubernetes.io/instance=n8n-prod,app.kubernetes.io/name=n8n-webhook,pod-template-hash=7485d794dd
n8n-prod-webhook-7b8644d8b5     1         1         0       31h    n8n-webhook   n8n-playwright-local:1.0.1-fix-host                                   app.kubernetes.io/component=webhook,app.kubernetes.io/instance=n8n-prod,app.kubernetes.io/name=n8n-webhook,pod-template-hash=7b8644d8b5
n8n-prod-webhook-7c7ff49d6d     0         0         0       2d2h   n8n-webhook   n8n-playwright-local:2.2.4-pw1.49.0-fix4                              app.kubernetes.io/component=webhook,app.kubernetes.io/instance=n8n-prod,app.kubernetes.io/name=n8n-webhook,pod-template-hash=7c7ff49d6d
n8n-prod-webhook-8cf88cd4b      1         1         1       2d1h   n8n-webhook   n8n-playwright-local:2.2.4-pw1.49.0-fix4                              app.kubernetes.io/component=webhook,app.kubernetes.io/instance=n8n-prod,app.kubernetes.io/name=n8n-webhook,pod-template-hash=8cf88cd4b
n8n-prod-webhook-99df989b9      0         0         0       2d2h   n8n-webhook   n8n-playwright-local:2.2.4-pw1.49.0-fix4                              app.kubernetes.io/component=webhook,app.kubernetes.io/instance=n8n-prod,app.kubernetes.io/name=n8n-webhook,pod-template-hash=99df989b9
n8n-prod-worker-75fd6997f6      0         0         0       2d2h   n8n-worker    n8n-playwright-local:2.2.4-pw1.49.0-fix4                              app.kubernetes.io/component=worker,app.kubernetes.io/instance=n8n-prod,app.kubernetes.io/name=n8n-worker,pod-template-hash=75fd6997f6
n8n-prod-worker-7dcc77d9c8      1         1         1       2d2h   n8n-worker    n8n-playwright-local:2.2.4-pw1.49.0-fix4                              app.kubernetes.io/component=worker,app.kubernetes.io/instance=n8n-prod,app.kubernetes.io/name=n8n-worker,pod-template-hash=7dcc77d9c8
