### CMD: kubectl -n n8n-prod get events --sort-by=.metadata.creationTimestamp
### DATE: 2026-02-18T17:21:51+01:00

LAST SEEN   TYPE      REASON              OBJECT                                     MESSAGE
96s         Normal    BackOff             pod/n8n-prod-c945f7c6f-vkfm8               Back-off pulling image "n8n-playwright-local:1.0.1-fix-host"
84s         Warning   Failed              pod/n8n-prod-c945f7c6f-vkfm8               Error: ImagePullBackOff
85s         Warning   Failed              pod/n8n-prod-webhook-7b8644d8b5-mvxbz      Error: ImagePullBackOff
85s         Normal    BackOff             pod/n8n-prod-webhook-7b8644d8b5-mvxbz      Back-off pulling image "n8n-playwright-local:1.0.1-fix-host"
84s         Normal    BackOff             pod/n8n-prod-worker-c94d9949c-b6ws5        Back-off pulling image "n8n-playwright-local:1.0.1-fix-host"
84s         Warning   Failed              pod/n8n-prod-worker-c94d9949c-b6ws5        Error: ImagePullBackOff
59m         Normal    Scheduled           pod/curltest-click-18978                   Successfully assigned n8n-prod/curltest-click-18978 to pw-control-plane
59m         Normal    Pulled              pod/curltest-click-18978                   Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
59m         Normal    Created             pod/curltest-click-18978                   Container created
59m         Normal    Started             pod/curltest-click-18978                   Container started
59m         Normal    Scheduled           pod/pw-0d92d016c296653e                    Successfully assigned n8n-prod/pw-0d92d016c296653e to pw-control-plane
59m         Normal    Created             pod/pw-0d92d016c296653e                    Container created
59m         Normal    Started             pod/pw-0d92d016c296653e                    Container started
59m         Normal    Pulled              pod/pw-0d92d016c296653e                    Container image "mcr.microsoft.com/playwright/mcp:latest" already present on machine and can be accessed by the pod
57m         Normal    Scheduled           pod/curltest-click-1595                    Successfully assigned n8n-prod/curltest-click-1595 to pw-control-plane
57m         Normal    Started             pod/curltest-click-1595                    Container started
57m         Normal    Created             pod/curltest-click-1595                    Container created
57m         Normal    Pulled              pod/curltest-click-1595                    Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
57m         Normal    Killing             pod/pw-0d92d016c296653e                    Stopping container playwright
57m         Normal    Scheduled           pod/curltest-snapafter-18945               Successfully assigned n8n-prod/curltest-snapafter-18945 to pw-control-plane
57m         Normal    Pulled              pod/curltest-snapafter-18945               Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
57m         Normal    Created             pod/curltest-snapafter-18945               Container created
57m         Normal    Started             pod/curltest-snapafter-18945               Container started
44m         Normal    Started             pod/pw-d85bcd034aab65ba                    Container started
44m         Normal    Scheduled           pod/pw-d85bcd034aab65ba                    Successfully assigned n8n-prod/pw-d85bcd034aab65ba to pw-control-plane
44m         Normal    Pulled              pod/pw-d85bcd034aab65ba                    Container image "mcr.microsoft.com/playwright/mcp:latest" already present on machine and can be accessed by the pod
44m         Normal    Created             pod/pw-d85bcd034aab65ba                    Container created
43m         Normal    Pulled              pod/pw-ba7b684d05331abe                    Container image "mcr.microsoft.com/playwright/mcp:latest" already present on machine and can be accessed by the pod
43m         Normal    Scheduled           pod/pw-ba7b684d05331abe                    Successfully assigned n8n-prod/pw-ba7b684d05331abe to pw-control-plane
43m         Normal    Created             pod/pw-ba7b684d05331abe                    Container created
43m         Normal    Started             pod/pw-ba7b684d05331abe                    Container started
40m         Normal    Scheduled           pod/pw-3113258d683ab3f2                    Successfully assigned n8n-prod/pw-3113258d683ab3f2 to pw-control-plane
40m         Normal    Pulled              pod/pw-3113258d683ab3f2                    Container image "mcr.microsoft.com/playwright/mcp:latest" already present on machine and can be accessed by the pod
40m         Normal    Created             pod/pw-3113258d683ab3f2                    Container created
40m         Normal    Started             pod/pw-3113258d683ab3f2                    Container started
39m         Normal    Killing             pod/pw-1c37c18730de3bbf                    Stopping container playwright
36m         Normal    Killing             pod/pw-6ae0480b65602b3f                    Stopping container playwright
35m         Normal    Killing             pod/pw-f07b5bb99f5f8b07                    Stopping container playwright
31m         Normal    Scheduled           pod/curltest-mcp-2712000                   Successfully assigned n8n-prod/curltest-mcp-2712000 to pw-control-plane
31m         Normal    Pulled              pod/curltest-mcp-2712000                   Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
31m         Normal    Created             pod/curltest-mcp-2712000                   Container created
31m         Normal    Started             pod/curltest-mcp-2712000                   Container started
16m         Normal    Pulling             pod/n8n-prod-webhook-7b8644d8b5-mvxbz      Pulling image "n8n-playwright-local:1.0.1-fix-host"
16m         Warning   Failed              pod/n8n-prod-webhook-7b8644d8b5-mvxbz      Failed to pull image "n8n-playwright-local:1.0.1-fix-host": failed to pull and unpack image "docker.io/library/n8n-playwright-local:1.0.1-fix-host": failed to resolve reference "docker.io/library/n8n-playwright-local:1.0.1-fix-host": pull access denied, repository does not exist or may require authorization: server message: insufficient_scope: authorization failed
13m         Normal    Killing             pod/pw-ba7b684d05331abe                    Stopping container playwright
10m         Normal    Scheduled           pod/playwright-wrapper-578c4794d5-wdmqq    Successfully assigned n8n-prod/playwright-wrapper-578c4794d5-wdmqq to pw-control-plane
10m         Normal    ScalingReplicaSet   deployment/playwright-wrapper              Scaled up replica set playwright-wrapper-578c4794d5 from 0 to 1
10m         Normal    SuccessfulCreate    replicaset/playwright-wrapper-578c4794d5   Created pod: playwright-wrapper-578c4794d5-wdmqq
7m47s       Normal    Pulling             pod/playwright-wrapper-578c4794d5-wdmqq    Pulling image "playwright-wrapper:proxyany-ssepost-20260218_171047"
7m46s       Warning   Failed              pod/playwright-wrapper-578c4794d5-wdmqq    Failed to pull image "playwright-wrapper:proxyany-ssepost-20260218_171047": failed to pull and unpack image "docker.io/library/playwright-wrapper:proxyany-ssepost-20260218_171047": failed to resolve reference "docker.io/library/playwright-wrapper:proxyany-ssepost-20260218_171047": pull access denied, repository does not exist or may require authorization: server message: insufficient_scope: authorization failed
7m46s       Warning   Failed              pod/playwright-wrapper-578c4794d5-wdmqq    Error: ErrImagePull
44s         Normal    BackOff             pod/playwright-wrapper-578c4794d5-wdmqq    Back-off pulling image "playwright-wrapper:proxyany-ssepost-20260218_171047"
44s         Warning   Failed              pod/playwright-wrapper-578c4794d5-wdmqq    Error: ImagePullBackOff
8m41s       Normal    Killing             pod/pw-3113258d683ab3f2                    Stopping container playwright
