### CMD: docker exec pw-control-plane sh -lc ctr -n k8s.io images ls || true
### DATE: 2026-02-19T10:02:09+01:00

REF                                                                                                                        TYPE                                                      DIGEST                                                                  SIZE      PLATFORMS                                                                                                           LABELS                                                          
docker.io/curlimages/curl:8.6.0                                                                                            application/vnd.docker.distribution.manifest.list.v2+json sha256:c3b8bee303c6c6beed656cfc921218c529d65aa61114eb9e27c62047a1271b9b 7.2 MiB   linux/386,linux/amd64,linux/arm64,linux/ppc64le                                                                     io.cri-containerd.image=managed                                 
docker.io/curlimages/curl@sha256:c3b8bee303c6c6beed656cfc921218c529d65aa61114eb9e27c62047a1271b9b                          application/vnd.docker.distribution.manifest.list.v2+json sha256:c3b8bee303c6c6beed656cfc921218c529d65aa61114eb9e27c62047a1271b9b 7.2 MiB   linux/386,linux/amd64,linux/arm64,linux/ppc64le                                                                     io.cri-containerd.image=managed                                 
docker.io/kindest/kindnetd:v20251212-v0.29.0-alpha-105-g20ccfc88                                                           application/vnd.oci.image.index.v1+json                   sha256:377e2e7a513148f7c942b51cd57bdce1589940df856105384ac7f753a1ab43ae 40.7 MiB  linux/amd64,linux/arm64                                                                                             io.cri-containerd.image=managed                                 
docker.io/kindest/local-path-helper:v20251211-v0.29.0-alpha-100-g82a92c5d                                                  application/vnd.oci.image.index.v1+json                   sha256:f673e4b006aec2b6d794505759997b60631d9c19431c79e180ed6c44321010a9 2.9 MiB   linux/amd64,linux/arm64                                                                                             io.cri-containerd.image=managed                                 
docker.io/kindest/local-path-provisioner:v20251212-v0.29.0-alpha-105-g20ccfc88                                             application/vnd.oci.image.index.v1+json                   sha256:732f0c85c983ea1d9208d764033c73cbbef1520ebeb3b0cf234e1f98330565df 23.6 MiB  linux/amd64,linux/arm64                                                                                             io.cri-containerd.image=managed                                 
docker.io/library/busybox:1.36                                                                                             application/vnd.oci.image.index.v1+json                   sha256:b9598f8c98e24d0ad42c1742c32516772c3aa2151011ebaf639089bd18c605b8 2.1 MiB   linux/386,linux/amd64,linux/arm/v5,linux/arm/v6,linux/arm/v7,linux/arm64/v8,linux/ppc64le,linux/riscv64,linux/s390x io.cri-containerd.image=managed                                 
docker.io/library/busybox@sha256:b9598f8c98e24d0ad42c1742c32516772c3aa2151011ebaf639089bd18c605b8                          application/vnd.oci.image.index.v1+json                   sha256:b9598f8c98e24d0ad42c1742c32516772c3aa2151011ebaf639089bd18c605b8 2.1 MiB   linux/386,linux/amd64,linux/arm/v5,linux/arm/v6,linux/arm/v7,linux/arm64/v8,linux/ppc64le,linux/riscv64,linux/s390x io.cri-containerd.image=managed                                 
docker.io/library/n8n-playwright-local:2.2.4-pw1.49.0-fix4                                                                 application/vnd.oci.image.manifest.v1+json                sha256:5ba6f7d1af15427bd73230001edd2812be8d7f0bda4c538fcb505c89f6dd1fb0 6.3 GiB   linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:1.0.0                                                                                 application/vnd.oci.image.manifest.v1+json                sha256:d606e2ca8fb8e41e371a1cb98fa2e3a4a29a815f3c530842b77de4ee5af5e99e 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:1.0.1-fix-host                                                                        application/vnd.oci.image.manifest.v1+json                sha256:17999c952f5d61e4d9ba56fc4fc961a712b46547c50aa4064da449a41ff493df 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:ctxfix-20260218-121723                                                                application/vnd.oci.image.manifest.v1+json                sha256:bc653dc4dbf881710c735be5def6ea977f8444feee368cb1202117b5038f6780 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:dev-mcp                                                                               application/vnd.oci.image.manifest.v1+json                sha256:8a96de29eb73cae3d886b46d1cd4bc96a6d1466589e9c7cdbb405152ee6f9cd3 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:fix-allowed-hosts-20260218-150603                                                     application/vnd.oci.image.manifest.v1+json                sha256:5f4f68e3b4d8c3846a7496ada0ff4e1cada40790fe9da995654aea01c1d25b80 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
