48m         Normal    Started             pod/curltest-direct                            Container started
46m         Normal    Pulling             pod/n8n-prod-worker-c94d9949c-b6ws5            Pulling image "n8n-playwright-local:1.0.1-fix-host"
46m         Warning   Failed              pod/n8n-prod-worker-c94d9949c-b6ws5            Failed to pull image "n8n-playwright-local:1.0.1-fix-host": failed to pull and unpack image "docker.io/library/n8n-playwright-local:1.0.1-fix-host": failed to resolve reference "docker.io/library/n8n-playwright-local:1.0.1-fix-host": pull access denied, repository does not exist or may require authorization: server message: insufficient_scope: authorization failed
40m         Normal    Pulled              pod/curltest-svc                               Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
40m         Normal    Started             pod/curltest-svc                               Container started
40m         Normal    Created             pod/curltest-svc                               Container created
36m         Normal    Started             pod/curltest-mcp-svc-1771408881                Container started
36m         Normal    Pulled              pod/curltest-mcp-svc-1771408881                Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
36m         Normal    Created             pod/curltest-mcp-svc-1771408881                Container created
34m         Normal    Pulling             pod/pw-debug                                   Pulling image "mcr.microsoft.com/playwright/mcp:latest"
34m         Normal    Created             pod/pw-debug                                   Container created
34m         Normal    Started             pod/pw-debug                                   Container started
34m         Normal    Pulled              pod/pw-debug                                   Successfully pulled image "mcr.microsoft.com/playwright/mcp:latest" in 378ms (378ms including waiting). Image size: 403869736 bytes.
33m         Normal    Pulling             pod/pw-debug                                   Pulling image "mcr.microsoft.com/playwright/mcp:latest"
33m         Normal    Created             pod/pw-debug                                   Container created
33m         Normal    Started             pod/pw-debug                                   Container started
33m         Normal    Pulled              pod/pw-debug                                   Successfully pulled image "mcr.microsoft.com/playwright/mcp:latest" in 1.071s (1.071s including waiting). Image size: 403869736 bytes.
25m         Normal    SuccessfulCreate    replicaset/playwright-wrapper-6474db45fd       Created pod: playwright-wrapper-6474db45fd-dbrvg
25m         Normal    SuccessfulDelete    replicaset/playwright-wrapper-67cb9bc864       Deleted pod: playwright-wrapper-67cb9bc864-rdqjs
25m         Normal    ScalingReplicaSet   deployment/playwright-wrapper                  Scaled up replica set playwright-wrapper-6474db45fd from 0 to 1
25m         Normal    ScalingReplicaSet   deployment/playwright-wrapper                  Scaled down replica set playwright-wrapper-67cb9bc864 from 1 to 0
25m         Normal    ScalingReplicaSet   deployment/playwright-wrapper                  Scaled up replica set playwright-wrapper-67cb9bc864 from 0 to 1
25m         Normal    Pulled              pod/playwright-wrapper-6474db45fd-dbrvg        Container image "playwright-wrapper:local-20260218-111304" already present on machine and can be accessed by the pod
25m         Normal    Created             pod/playwright-wrapper-6474db45fd-dbrvg        Container created
25m         Normal    SuccessfulCreate    replicaset/playwright-wrapper-67cb9bc864       Created pod: playwright-wrapper-67cb9bc864-rdqjs
25m         Normal    Started             pod/playwright-wrapper-6474db45fd-dbrvg        Container started
24m         Normal    Started             pod/curltest-health                            Container started
24m         Normal    SuccessfulDelete    replicaset/playwright-wrapper-65bf8458d        Deleted pod: playwright-wrapper-65bf8458d-68h9b
24m         Normal    Created             pod/curltest-health                            Container created
24m         Normal    ScalingReplicaSet   deployment/playwright-wrapper                  Scaled down replica set playwright-wrapper-65bf8458d from 1 to 0
24m         Warning   Unhealthy           pod/playwright-wrapper-65bf8458d-68h9b         Readiness probe failed: Get "http://10.244.0.124:8080/health": dial tcp 10.244.0.124:8080: connect: connection refused
24m         Normal    Killing             pod/playwright-wrapper-65bf8458d-68h9b         Stopping container wrapper
24m         Normal    Pulled              pod/curltest-health                            Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
24m         Normal    Created             pod/curltest-sessions-headers                  Container created
24m         Normal    Started             pod/curltest-sessions-headers                  Container started
24m         Normal    Pulled              pod/curltest-sessions-headers                  Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
